Time,Label F,Label E,Label D,Label C,Label B,Label A
2020.0,0.5,0.4,0.3,0.2,0.1,0.05
2021.0,0.65102714,0.51620406,0.341871,0.23695974,0.10597569,0.051409256
2022.0,0.75614256,0.6281586,0.38968232,0.28071186,0.11234333,0.05290877
2023.0,0.82942873,0.7141273,0.44427186,0.33251047,0.11913343,0.05449293
2024.0,0.8805896,0.78015274,0.5065915,0.3938386,0.12637952,0.05616081
2025.0,0.9163422,0.8308772,0.56829005,0.46648356,0.13411221,0.057910796
2026.0,0.94135076,0.8698602,0.62231565,0.548502,0.14235985,0.059741843
2027.0,0.95886075,0.8998336,0.6696148,0.620244,0.15115243,0.06165383
2028.0,0.9711286,0.9228927,0.7110102,0.6805887,0.16052501,0.06364685
2029.0,0.97973007,0.94064057,0.7472198,0.7313292,0.17051478,0.065721504
2030.0,0.98576593,0.95430076,0.7788801,0.7739835,0.1811617,0.06787952
2031.0,0.99000275,0.96481526,0.80656034,0.809842,0.19251119,0.07012389
2032.0,0.9929773,0.97290885,0.83075994,0.83999175,0.20461331,0.07245828
2033.0,0.995066,0.97913915,0.85191655,0.86534667,0.2175243,0.074886896
2034.0,0.99653286,0.9839351,0.87041456,0.8866721,0.23130673,0.07741432
2035.0,0.9975631,0.98762727,0.88658875,0.9046086,0.24602883,0.08004605
2036.0,0.9982869,0.9904698,0.9007304,0.9196949,0.26176846,0.08278947
2037.0,0.9987954,0.9926584,0.9130955,0.93238485,0.27861127,0.08565369
2038.0,0.9991528,0.99434346,0.92390746,0.9430594,0.2966478,0.08864887
2039.0,0.9994039,0.9956411,0.93336177,0.9520391,0.31598493,0.09178582
2040.0,0.9995805,0.9966403,0.94162875,0.9595938,0.33674788,0.09507764
2041.0,0.9997046,0.9974099,0.94885784,0.9659507,0.35907993,0.09854022
2042.0,0.9997919,0.9980026,0.95518,0.97130114,0.38314277,0.102190875
2043.0,0.9998533,0.9984591,0.9607092,0.9758055,0.4091178,0.10604945
2044.0,0.9998965,0.99881077,0.9655444,0.97959876,0.43721873,0.110140406
2045.0,0.9999269,0.9990817,0.9697724,0.98279434,0.46769816,0.1144931
2046.0,0.9999484,0.99929047,0.9734698,0.9854866,0.5008433,0.11914155
2047.0,0.99996346,0.99945146,0.976704,0.98775446,0.53472024,0.12412408
2048.0,0.99997413,0.99957556,0.9795329,0.98966515,0.56691766,0.12949297
2049.0,0.99998164,0.9996712,0.98200697,0.99127525,0.59760094,0.1353252
2050.0,0.99998695,0.999745,0.9841702,0.99263203,0.6269268,0.14171906
2051.0,0.9999907,0.9998019,0.9860615,0.9937754,0.6550148,0.14879005
2052.0,0.9999933,0.9998458,0.98771536,0.9947393,0.6819514,0.15667523
2053.0,0.99999523,0.9998797,0.989163,0.9955516,0.70777535,0.16553082
2054.0,0.99999654,0.99990594,0.9904297,0.9962364,0.73251057,0.17553999
2055.0,0.9999975,0.99992627,0.99153477,0.9968146,0.7562854,0.18700002
2056.0,0.9999982,0.9999419,0.9924958,0.9973036,0.7793469,0.2004249
2057.0,0.9999987,0.999954,0.9933296,0.9977186,0.80180264,0.21642944
2058.0,0.99999905,0.9999633,0.9940523,0.99807215,0.82358295,0.23570871
2059.0,0.9999993,0.9999705,0.9946744,0.99837536,0.8449219,0.2596381
2060.0,0.99999946,0.99997604,0.9952175,0.9986339,0.86486596,0.28821993
