Time,Natural Gas,Green Gas,LT Heating Grid,MT Heating Grid,HT Heating Grid,Air Heat Pump,Ground Heat Pump,Hybrid Heat Pump
2020.0,1.0,0.2,0.45,0.6,1.0,0.45,0.6,0.6
2021.0,1.0,0.23981583,0.4589357,0.60893404,1.0,0.4513642,0.6013893,0.6010398
2022.0,1.0,0.28636608,0.47031164,0.6202448,1.0,0.4527304,0.6027715,0.6020752
2023.0,1.0,0.34076858,0.48388088,0.6333359,1.0,0.45412198,0.6041744,0.60312563
2024.0,1.0,0.40428394,0.4995104,0.647707,1.0,0.45558068,0.6056492,0.60422593
2025.0,1.0,0.47849497,0.51650816,0.66278654,1.0,0.45713884,0.6072338,0.6054023
2026.0,1.0,0.55904025,0.5337207,0.6779624,1.0,0.45882976,0.6089643,0.60668015
2027.0,1.0,0.6278148,0.5508094,0.69289243,1.0,0.4606968,0.6108858,0.6080917
2028.0,1.0,0.68555796,0.5676648,0.7074793,1.0,0.46279114,0.6130483,0.6096735
2029.0,1.0,0.73409957,0.5841977,0.72164345,1.0,0.4651655,0.6154983,0.61146045
2030.0,1.0,0.7749102,0.6004124,0.7353873,1.0,0.4678758,0.61827993,0.61348695
2031.0,1.0,0.8092668,0.61624306,0.74866295,1.0,0.47096407,0.6214162,0.61577344
2032.0,1.0,0.8382272,0.63164026,0.7614402,1.0,0.4744645,0.6249168,0.61833143
2033.0,1.0,0.8626462,0.6466187,0.77374065,1.0,0.4784195,0.6287945,0.6211756
2034.0,1.0,0.88324594,0.66119576,0.7855871,1.0,0.48286703,0.6330522,0.62431395
2035.0,1.0,0.9006709,0.67537344,0.79698694,1.0,0.48784792,0.63769007,0.62775314
2036.0,1.0,0.9154522,0.68909764,0.8078954,1.0,0.49340135,0.6427019,0.63149554
2037.0,1.0,0.9279942,0.7023851,0.8183273,1.0,0.49955896,0.6480708,0.63553524
2038.0,1.0,0.93864024,0.71524537,0.8283041,1.0,0.5062736,0.6537694,0.63985825
2039.0,1.0,0.94768244,0.72767633,0.8378407,1.0,0.5134237,0.659765,0.6444457
2040.0,1.0,0.9553705,0.73967355,0.84693307,1.0,0.5209759,0.66602314,0.64927655
2041.0,1.0,0.96191376,0.75123554,0.85558,1.0,0.52889633,0.6725096,0.6543292
2042.0,1.0,0.96748847,0.7623529,0.86378264,1.0,0.5371477,0.67919004,0.65958047
2043.0,1.0,0.9722398,0.7730373,0.87156314,1.0,0.54569286,0.68603206,0.66500825
2044.0,1.0,0.97629017,0.78330755,0.87894857,1.0,0.5544935,0.69300467,0.6705902
2045.0,1.0,0.979742,0.79320407,0.8859727,1.0,0.5635093,0.7000776,0.6763036
2046.0,1.0,0.98268586,0.80273396,0.89264375,1.0,0.57269776,0.70722085,0.6821248
2047.0,1.0,0.9851994,0.81188864,0.8989661,1.0,0.5820284,0.71441406,0.68803746
2048.0,1.0,0.9873578,0.82068056,0.90495616,1.0,0.59149003,0.72165096,0.69403726
2049.0,1.0,0.98921424,0.82910734,0.9106205,1.0,0.6010709,0.7289261,0.70011985
2050.0,1.0,0.99080914,0.83717483,0.91596985,1.0,0.6107467,0.73622674,0.70627385
2051.0,1.0,0.99217725,0.84490335,0.92102426,1.0,0.62049145,0.7435391,0.7124869
2052.0,1.0,0.9933491,0.8523088,0.92580026,1.0,0.63027817,0.7508484,0.7187456
2053.0,1.0,0.9943518,0.8593996,0.930308,1.0,0.64008206,0.7581404,0.7250371
2054.0,1.0,0.99520886,0.866195,0.9345649,1.0,0.6499045,0.7654187,0.7313647
2055.0,1.0,0.9959441,0.8727323,0.93859965,1.0,0.65978324,0.7727121,0.73775464
2056.0,1.0,0.99657357,0.87901855,0.94242513,1.0,0.6697363,0.7800334,0.74422014
2057.0,1.0,0.9971113,0.88505197,0.94604445,1.0,0.6797512,0.7873713,0.75075424
2058.0,1.0,0.99756974,0.8908643,0.9494756,1.0,0.6898942,0.7947691,0.75740045
2059.0,1.0,0.9979613,0.8964771,0.95273393,1.0,0.7002695,0.8022941,0.76422656
2060.0,1.0,0.99829674,0.90185106,0.9558072,1.0,0.7106189,0.8097632,0.77106804
