0,1,2,3,4,5,6,,,,,,,,
2020,0.021378563,0.015736144,0.007988182,0.01040687,0.003527444,0.001661162,0.060698365,,1.001,1.005,1.01,1.1,1.1,1.12
2021,0.021399942,0.015814824,0.008068064,0.011447557,0.003880189,0.001860501,0.062471077,,,,,,,
2022,0.021421342,0.015893899,0.008148745,0.012592313,0.004268208,0.002083761,0.064408267,,,,,,,
2023,0.021442763,0.015973368,0.008230232,0.013851544,0.004695028,0.002333813,0.066526748,,,,,,,
2024,0.021464206,0.016053235,0.008312535,0.015236698,0.005164531,0.00261387,0.068845075,,,,,,,
2025,0.02148567,0.016133501,0.00839566,0.016760368,0.005680984,0.002927535,0.071383718,,,,,,,
2026,0.021507156,0.016214169,0.008479617,0.018436405,0.006249083,0.003278839,0.074165267,,,,,,,
2027,0.021528663,0.016295239,0.008564413,0.020280045,0.006873991,0.003672299,0.077214651,,,,,,,
2028,0.021550192,0.016376716,0.008650057,0.02230805,0.00756139,0.004112975,0.080559379,,,,,,,
2029,0.021571742,0.016458599,0.008736557,0.024538855,0.008317529,0.004606532,0.084229815,,,,,,,
2030,0.021593314,0.016540892,0.008823923,0.02699274,0.009149282,0.005159316,0.088259467,,,,,,,
2031,0.021614907,0.016623597,0.008912162,0.029692014,0.01006421,0.005778434,0.092685325,,,,,,,
2032,0.021636522,0.016706715,0.009001284,0.032661216,0.011070631,0.006471846,0.097548214,,,,,,,
2033,0.021658158,0.016790248,0.009091297,0.035927337,0.012177694,0.007248468,0.102893203,,,,,,,
2034,0.021679817,0.016874199,0.00918221,0.039520071,0.013395464,0.008118284,0.108770045,,,,,,,
2035,0.021701496,0.01695857,0.009274032,0.043472078,0.01473501,0.009092478,0.115233665,,,,,,,
2036,0.021723198,0.017043363,0.009366772,0.047819286,0.016208511,0.010183576,0.122344706,,,,,,,
2037,0.021744921,0.01712858,0.00946044,0.052601215,0.017829362,0.011405605,0.130170122,,,,,,,
2038,0.021766666,0.017214223,0.009555044,0.057861336,0.019612298,0.012774277,0.138783845,,,,,,,
2039,0.021788433,0.017300294,0.009650595,0.06364747,0.021573528,0.01430719,0.14826751,,,,,,,
2040,0.021810221,0.017386796,0.009747101,0.070012217,0.023730881,0.016024053,0.158711268,,,,,,,
2041,0.021832031,0.01747373,0.009844572,0.077013438,0.026103969,0.01794694,0.17021468,,,,,,,
2042,0.021853863,0.017561098,0.009943017,0.084714782,0.028714366,0.020100572,0.182887699,,,,,,,
2043,0.021875717,0.017648904,0.010042448,0.09318626,0.031585802,0.022512641,0.196851772,,,,,,,
2044,0.021897593,0.017737148,0.010142872,0.102504886,0.034744383,0.025214158,0.21224104,,,,,,,
2045,0.021919491,0.017825834,0.010244301,0.112755375,0.038218821,0.028239857,0.229203678,,,,,,,
2046,0.02194141,0.017914963,0.010346744,0.124030913,0.042040703,0.03162864,0.247903372,,,,,,,
2047,0.021963351,0.018004538,0.010450211,0.136434004,0.046244773,0.035424077,0.268520954,,,,,,,
2048,0.021985315,0.018094561,0.010554713,0.150077404,0.050869251,0.039674966,0.29125621,,,,,,,
2049,0.0220073,0.018185033,0.01066026,0.165085145,0.055956176,0.044435962,0.316329876,,,,,,,
2050,0.022029307,0.018275959,0.010766863,0.181593659,0.061551793,0.049768277,0.343985859,,,,,,,
2051,0.022051337,0.018367338,0.010874532,0.199753025,0.067706973,0.055740471,0.374493675,,,,,,,
2052,0.022073388,0.018459175,0.010983277,0.219728327,0.07447767,0.062429327,0.408151165,,,,,,,
2053,0.022095461,0.018551471,0.01109311,0.24170116,0.081925437,0.069920846,0.445287486,,,,,,,
2054,0.022117557,0.018644228,0.011204041,0.265871276,0.090117981,0.078311348,0.486266431,,,,,,,
2055,0.022139674,0.018737449,0.011316081,0.292458404,0.099129779,0.08770871,0.531490097,,,,,,,
2056,0.022161814,0.018831137,0.011429242,0.321704244,0.109042757,0.098233755,0.581402948,,,,,,,
2057,0.022183976,0.018925292,0.011543535,0.353874669,0.119947032,0.110021805,0.636496309,,,,,,,
2058,0.02220616,0.019019919,0.01165897,0.389262136,0.131941735,0.123224422,0.697313341,,,,,,,
2059,0.022228366,0.019115018,0.01177556,0.428188349,0.145135909,0.138011353,0.764454555,,,,,,,
2060,0.022250594,0.019210594,0.011893315,0.471007184,0.1596495,0.154572715,0.838583902,,,,,,,
